,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id_x,season,roster_id,xA,assists_x,key_passes_x,npg,npxG,xGChain,xGBuildup,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id_y,influence,key_passes_y,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,1,0.12372777611017227,46,AMC,Inter,Sampdoria,5,1,2021-05-08,15773,2020,468801,0,0,0,0,0.12372777611017227,0.12372777611017227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,16,Sub,Sampdoria,Roma,2,0,2021-05-02,15764,2020,467859,0.049483347684144974,0,1,0,0,0.14236196875572205,0.09287862479686737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.00757578806951642,21,Sub,Bologna,Sampdoria,3,1,2021-03-14,15692,2020,456710,0.05201813951134682,0,1,0,0.00757578806951642,0.05959392711520195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,0.07538032531738281,44,Sub,Sampdoria,Cagliari,2,2,2021-03-07,15679,2020,455348,0.0980324000120163,1,1,0,0.07538032531738281,0.1734127253293991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,12,Sub,Genoa,Sampdoria,1,1,2021-03-03,15669,2020,453962,0.019342096522450447,0,1,0,0,0.04168577864766121,0.022343682125210762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,23,Sub,Sampdoria,Atalanta,0,2,2021-02-28,15656,2020,452654,0.0410870797932148,0,1,0,0,0.0410870797932148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,46,AMC,Lazio,Sampdoria,1,0,2021-02-20,15651,2020,450573,0.06491068750619888,0,1,0,0,0.11887329071760178,0.05396260693669319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,90,AMC,Sampdoria,Fiorentina,2,1,2021-02-14,15638,2020,449618,0.5442959666252136,1,1,0,0,0.663555383682251,0.663555383682251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,21,Sub,Sampdoria,Juventus,0,2,2021-01-30,15617,2020,445779,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,70,AMC,Parma Calcio 1913,Sampdoria,0,2,2021-01-24,15612,2020,444849,0.3889973759651184,1,1,0,0,0.8995712399482727,0.5105738639831543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,0,16,Sub,Sampdoria,Udinese,2,1,2021-01-16,15603,2020,442459,0.10848633944988251,0,1,0,0,0.3746933341026306,0.2662069797515869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,0,1,Sub,Spezia,Sampdoria,2,1,2021-01-11,15593,2020,441756,0.08114229887723923,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,0.05657458305358887,75,FW,Sampdoria,Sassuolo,2,3,2020-12-23,15562,2020,437687,0.19474704563617706,0,3,0,0.05657458305358887,0.09652784466743469,0.09652784466743469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,1,0.021121375262737274,27,Sub,Sampdoria,Crotone,3,1,2020-12-19,15553,2020,436073,0,0,0,0,0.021121375262737274,0.021121375262737274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,0.059354204684495926,19,Sub,Verona,Sampdoria,1,2,2020-12-16,15545,2020,435148,0,0,0,0,0.059354204684495926,0.059354204684495926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,25,Sub,Napoli,Sampdoria,2,1,2020-12-13,15533,2020,433609,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,6,Sub,Torino,Sampdoria,2,2,2020-11-30,15515,2020,430805,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1,0.05993782356381416,24,Sub,Sampdoria,Bologna,1,2,2020-11-22,15502,2020,428681,0,0,0,0,0.05993782356381416,0.05993782356381416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,42,FW,Cagliari,Sampdoria,2,0,2020-11-07,15489,2020,426147,0.017709802836179733,0,1,0,0,0.04468223825097084,0.026972435414791107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,66,FW,Sampdoria,Genoa,1,1,2020-11-01,15481,2020,425547,0.01778978854417801,1,1,0,0,0.01778978854417801,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,67,FW,Atalanta,Sampdoria,1,3,2020-10-24,15466,2020,422662,0.5652449131011963,0,1,0,0,0.7260860204696655,0.7260860204696655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,57,FW,Sampdoria,Lazio,3,0,2020-10-17,15458,2020,421250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
